id,email,full_name,phone,role
21,user00@seed.local,Seed Gaming 00,0950000000,customer
22,user01@seed.local,Seed Gaming 01,0950000001,customer
23,user02@seed.local,Seed Gaming 02,0950000002,customer
24,user03@seed.local,Seed Gaming 03,0950000003,customer
25,user04@seed.local,Seed Gaming 04,0950000004,customer
26,user05@seed.local,Seed Gaming 05,0950000005,customer
27,user06@seed.local,Seed Gaming 06,0950000006,customer
28,user07@seed.local,Seed Gaming 07,0950000007,customer
29,user08@seed.local,Seed Gaming 08,0950000008,customer
30,user09@seed.local,Seed Gaming 09,0950000009,customer
31,user10@seed.local,Seed Gaming 10,0950000010,customer
32,user11@seed.local,Seed Gaming 11,0950000011,customer
33,user12@seed.local,Seed Gaming 12,0950000012,customer
34,user13@seed.local,Seed Gaming 13,0950000013,customer
35,user14@seed.local,Seed Gaming 14,0950000014,customer
36,user15@seed.local,Seed Gaming 15,0950000015,customer
37,user16@seed.local,Seed Gaming 16,0950000016,customer
38,user17@seed.local,Seed Gaming 17,0950000017,customer
39,user18@seed.local,Seed Study 18,0950000018,customer
40,user19@seed.local,Seed Study 19,0950000019,customer
41,user20@seed.local,Seed Study 20,0950000020,customer
42,user21@seed.local,Seed Study 21,0950000021,customer
43,user22@seed.local,Seed Study 22,0950000022,customer
44,user23@seed.local,Seed Study 23,0950000023,customer
45,user24@seed.local,Seed Study 24,0950000024,customer
46,user25@seed.local,Seed Study 25,0950000025,customer
47,user26@seed.local,Seed Study 26,0950000026,customer
48,user27@seed.local,Seed Study 27,0950000027,customer
49,user28@seed.local,Seed Study 28,0950000028,customer
50,user29@seed.local,Seed Study 29,0950000029,customer
51,user30@seed.local,Seed Study 30,0950000030,customer
52,user31@seed.local,Seed Study 31,0950000031,customer
53,user32@seed.local,Seed Study 32,0950000032,customer
54,user33@seed.local,Seed Study 33,0950000033,customer
55,user34@seed.local,Seed Study 34,0950000034,customer
56,user35@seed.local,Seed Study 35,0950000035,customer
57,user36@seed.local,Seed Fashion 36,0950000036,customer
58,user37@seed.local,Seed Fashion 37,0950000037,customer
59,user38@seed.local,Seed Fashion 38,0950000038,customer
60,user39@seed.local,Seed Fashion 39,0950000039,customer
61,user40@seed.local,Seed Fashion 40,0950000040,customer
62,user41@seed.local,Seed Fashion 41,0950000041,customer
63,user42@seed.local,Seed Fashion 42,0950000042,customer
64,user43@seed.local,Seed Fashion 43,0950000043,customer
65,user44@seed.local,Seed Fashion 44,0950000044,customer
66,user45@seed.local,Seed Fashion 45,0950000045,customer
67,user46@seed.local,Seed Fashion 46,0950000046,customer
68,user47@seed.local,Seed Fashion 47,0950000047,customer
69,user48@seed.local,Seed Fashion 48,0950000048,customer
70,user49@seed.local,Seed Fashion 49,0950000049,customer
